56.5,425.24,0.0011848,2
54,459.26,-0.016588,2
54.778,493.29,-0.011058,2
55.556,527.31,-0.0055292,2
56.333,561.33,0,2
79.641,10.658,0.037127,2
79.938,10.635,0.039502,2
80.235,10.613,0.041877,2
80.531,10.59,0.044252,2
80.828,10.567,0.046627,2
81.125,10.545,0.049002,2
81.422,10.522,0.051377,3
81.719,10.499,0.053752,3
82.016,10.476,0.056127,3
82.313,10.454,0.058502,3
82.61,10.431,0.060877,3
82.906,10.408,0.063251,3
83.203,10.386,0.065626,3
83.5,10.363,0.068001,3
83.797,10.34,0.070376,3
84.094,10.318,0.072751,3
86.172,10.159,0.089376,4
86.469,10.136,0.091751,4
86.766,10.113,0.094126,4
87.063,10.091,0.096501,4
87.359,10.068,0.098876,4
87.656,10.045,0.10125,4
87.953,10.023,0.10363,4
88.25,10,0.106,4
88.547,9,0.10838,4
88.844,8,0.11075,4
89.141,7,0.11313,4
85.333,200.67,0.082667,2
85,248.08,0.08,2
83.429,295.5,0.067429,2
81.857,342.92,0.054857,2
80.286,390.33,0.042286,2
78.714,437.75,0.029714,2
78.066,13.57,0.17165,2
77.969,14.13,0.17092,2
77.872,14.69,0.17019,2
77.775,15.25,0.16946,2
77.678,15.81,0.16873,2
77.581,16.369,0.168,3
77.484,16.929,0.16727,3
77.388,17.489,0.16654,3
77.291,18.049,0.16581,3
77.194,18.608,0.16508,3
77.097,19.168,0.16435,3
77,19.728,0.16362,3
76.974,20.288,0.16342,3
76.947,20.848,0.16322,3
76.921,21.407,0.16302,3
76.895,21.967,0.16282,3
76.737,25.326,0.16163,4
76.711,25.886,0.16144,4
76.684,26.446,0.16124,4
76.658,27.005,0.16104,4
76.632,27.565,0.16084,4
76.605,28.125,0.16064,4
76.579,28.685,0.16044,4
76.553,29.244,0.16025,4
76.526,29.804,0.16005,4
76.5,30.364,0.15985,4
76.474,30.924,0.15965,4
76.447,31.484,0.15945,4
68,30.667,0.095802,2
67,20.333,0.088267,2
66,10,0.080732,2
65,10.051,0.073197,2
64,10.103,0.065662,2
76.505,9.7272,0.15145,2
76.018,9.5184,0.14802,2
75.531,9.3095,0.14459,2
75.044,9.1007,0.14116,2
74.558,8.8918,0.13773,2
74.071,8.683,0.1343,2
73.584,8.4741,0.13087,3
73.097,8.2653,0.12744,3
72.61,8.0565,0.12401,3
72.123,7.8476,0.12058,3
71.636,7.6388,0.11715,3
71.149,7.4299,0.11372,3
70.662,7.2211,0.11029,3
70.175,7.0122,0.10686,3
69.688,6.8034,0.10343,3
69.201,6.5946,0.1,3
68.714,6.3857,0.096575,3
65.792,5.1327,0.075998,4
65.305,4.9238,0.072569,4
64.818,4.715,0.069139,4
64.331,4.5061,0.06571,4
63.844,4.2973,0.06228,4
63.357,4.0884,0.058851,4
62.87,3.8796,0.055422,4
62.383,3.6707,0.051992,4
61.896,3.4619,0.048563,4
61.409,3.2531,0.045133,4
60.922,3.0442,0.041704,4
60.435,2.8354,0.038274,4
64,283.22,0.06338,2
68.5,303.3,0.09507,2
73,323.39,0.12676,2
68.75,343.48,0.096831,2
64.5,363.57,0.066901,2
78.307,4.7353,0.030653,2
78.27,4.9804,0.030346,2
78.234,5.2255,0.030039,2
78.197,5.4706,0.029732,2
78.16,5.7157,0.029425,2
78.124,5.9608,0.029119,3
78.087,6.2059,0.028812,3
78.051,6.451,0.028505,3
78.014,6.6961,0.028198,3
77.977,6.9412,0.027891,3
77.941,7.1863,0.027585,3
77.904,7.4314,0.027278,3
77.868,7.6765,0.026971,3
77.831,7.9216,0.026664,3
77.794,8.1667,0.026357,3
77.758,8.4118,0.026051,3
77.538,9.8824,0.02421,4
77.501,10.127,0.023903,4
77.465,10.373,0.023596,4
77.428,10.618,0.023289,4
77.391,10.863,0.022983,4
77.355,11.108,0.022676,4
77.318,11.353,0.022369,4
77.282,11.598,0.022062,4
77.245,11.843,0.021755,4
77.208,12.088,0.021448,4
77.172,12.333,0.021142,4
77.135,12.578,0.020835,4
76.183,355.11,0.012858,2
76.146,388.97,0.012551,2
76.11,422.83,0.012244,2
76.073,456.69,0.011937,2
76.037,490.56,0.011631,2
76,524.42,0.011324,2
71.055,7.0122,0.1933,2
69.575,6.3857,0.1839,2
68.095,5.7592,0.17449,2
66.615,5.1327,0.16509,2
65.136,4.5061,0.15569,2
63.656,3.8796,0.14628,3
62.176,3.2531,0.13688,3
60.696,2.6265,0.12748,3
59.217,2,0.11807,3
57.737,2.4737,0.10867,3
56.257,2.9474,0.099265,3
54.777,3.4211,0.089862,3
53.298,3.8947,0.080458,3
51.818,4.3684,0.071055,3
50.338,4.8421,0.061651,3
48.858,5.3158,0.052248,3
47.379,5.7895,0.042845,3
38.5,8.6316,-0.013576,4
39.568,9.1053,-0.006788,4
40.636,9.5789,0,4
41.705,10.053,0.006788,4
42.773,10.526,0.013576,4
43.841,11,0.020364,4
44.909,11.474,0.027152,4
45.977,11.947,0.03394,4
47.045,12.421,0.040728,4
48.114,12.895,0.047516,4
49.182,13.368,0.054304,4
50.25,13.842,0.061092,4
51.318,14.316,0.06788,4
